,Mean_Danger_Rating,"Population, 2016",Popn_prop,Total private dwellings,Dwellin_propn,Population density per square kilometre,Popn_density_Comp_to_city,Children (0-14 years),Children_propn,Seniors (65+ years),Older Seniors (85+ years),Seniors (>65),Seniors_propn,Average household size,Avg_household_size_comp_to_city,Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,Commuters_into_neigh_propn,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
etobicoke_west_mall,1.153846154,"11,848",0.0043,"4,727",0.0040,"6,582",1.519,"1,695",0.0043,"2,060",505,"2,565",0.005,2.5,1.0331,"4,795",0.0044,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,25.00,0.00
flemingdon_park,1.291666667,"21,933",0.0080,"7,964",0.0068,"9,026",2.083,"4,385",0.0110,"2,980",285,"3,265",0.007,2.8,1.1570,"7,150",0.0065,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,25.00,0.00,12.50,25.00,0.00,0.00,0.00,0.00,12.50
forest_hill_north,1.148148148,"12,806",0.0047,"5,784",0.0049,"8,054",1.858,"2,060",0.0052,"2,135",350,"2,485",0.005,2.33,0.9628,"5,720",0.0052,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,0.00,0.00,0.00,10.00,10.00,0.00,10.00,0.00,10.00,20.00,0.00,0.00,0.00
forest_hill_south,1.705882353,"10,732",0.0039,"5,353",0.0045,"4,380",1.011,"1,365",0.0034,"2,260",325,"2,585",0.005,2.14,0.8843,"4,410",0.0040,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,12.50,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,12.50,0.00
glenfield_jane_heights,1.558139535,"30,491",0.0112,"10,423",0.0088,"5,864",1.353,"5,790",0.0145,"5,005",700,"5,705",0.012,3.04,1.2562,"9,700",0.0089,5.26,0.00,0.00,0.00,0.00,5.26,10.53,0.00,10.53,0.00,10.53,0.00,0.00,15.79,0.00,15.79,5.26,0.00,10.53,10.53,0.00,0.00,0.00,0.00
greenwood_coxwell,1.423076923,"14,417",0.0053,"6,443",0.0055,"8,582",1.980,"2,460",0.0062,"1,640",200,"1,840",0.004,2.37,0.9793,"6,095",0.0056,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,16.67,0.00,0.00,0.00,0.00,0.00,8.33,0.00,25.00,0.00,0.00,8.33,25.00
guildwood,1.375,"9,917",0.0036,"4,044",0.0034,"2,673",0.617,"1,295",0.0033,"2,635",540,"3,175",0.006,2.42,1.0000,"3,665",0.0034,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00
henry_farm,1.5625,"15,723",0.0058,"6,646",0.0056,"6,047",1.395,"2,505",0.0063,"1,460",135,"1,595",0.003,2.47,1.0207,"6,485",0.0059,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,25.00,0.00,25.00,0.00,25.00
high_park_north,1.333333333,"22,162",0.0081,"11,541",0.0098,"11,726",2.706,"2,850",0.0072,"3,180",550,"3,730",0.008,1.98,0.8182,"10,040",0.0092,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,18.18,0.00,0.00,9.09,9.09,18.18,9.09,0.00,0.00,0.00,0.00,18.18,0.00,9.09,0.00,0.00
high_park_swansea,1.435897436,"23,925",0.0088,"11,526",0.0098,"4,893",1.129,"3,540",0.0089,"3,800",755,"4,555",0.009,2.15,0.8884,"10,750",0.0098,0.00,0.00,0.00,12.50,0.00,6.25,6.25,0.00,0.00,0.00,6.25,0.00,0.00,6.25,6.25,0.00,0.00,12.50,12.50,12.50,6.25,6.25,6.25,0.00
highland_creek,1.5,"12,494",0.0046,"3,907",0.0033,"2,403",0.554,"1,545",0.0039,"2,395",190,"2,585",0.005,3.37,1.3926,"5,100",0.0047,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00
hillcrest_village,1.36,"16,934",0.0062,"6,642",0.0056,"3,148",0.726,"2,115",0.0053,"4,305",630,"4,935",0.010,2.64,1.0909,"5,690",0.0052,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,9.09,0.00,9.09,18.18,0.00,9.09,0.00,0.00,9.09,18.18,0.00,9.09,0.00,0.00
humber_heights_westmount,1.461538462,"10,948",0.0040,"4,261",0.0036,"3,981",0.919,"1,450",0.0036,"3,045",950,"3,995",0.008,2.45,1.0124,"3,660",0.0034,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,16.67,0.00,0.00,16.67,0.00,16.67,0.00
humber_summit,1.303030303,"12,416",0.0045,"4,288",0.0036,"1,570",0.362,"2,155",0.0054,"2,380",260,"2,640",0.005,3.18,1.3140,"4,095",0.0038,7.69,0.00,0.00,0.00,0.00,0.00,15.38,15.38,0.00,0.00,0.00,7.69,7.69,0.00,15.38,0.00,7.69,7.69,0.00,15.38,0.00,0.00,0.00,0.00
humbermede,1.285714286,"15,545",0.0057,"5,390",0.0046,"3,565",0.823,"2,945",0.0074,"2,160",260,"2,420",0.005,3.07,1.2686,"5,735",0.0053,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,15.38,0.00,15.38,7.69,7.69,15.38,7.69,7.69
humewood_cedarvale,1.5,"14,365",0.0053,"6,865",0.0058,"7,682",1.772,"2,165",0.0054,"1,940",280,"2,220",0.005,2.17,0.8967,"6,695",0.0061,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,12.50,12.50,0.00,12.50,0.00,0.00,12.50,0.00
ionview,1.214285714,"13,641",0.0050,"5,312",0.0045,"7,031",1.622,"2,310",0.0058,"1,890",245,"2,135",0.004,2.63,1.0868,"5,290",0.0048,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00
islington_city_centre_west,1.298850575,"43,965",0.0161,"19,911",0.0169,"2,712",0.626,"5,820",0.0146,"7,405","1,480","8,885",0.018,2.24,0.9256,"19,390",0.0178,0.00,5.71,2.86,0.00,0.00,5.71,0.00,5.71,11.43,5.71,8.57,2.86,0.00,2.86,0.00,2.86,2.86,8.57,11.43,8.57,0.00,8.57,2.86,2.86
junction_area,1.617647059,"14,366",0.0053,"6,431",0.0055,"5,442",1.256,"2,190",0.0055,"1,500",175,"1,675",0.003,2.33,0.9628,"6,550",0.0060,0.00,0.00,7.69,7.69,7.69,0.00,0.00,0.00,0.00,7.69,0.00,7.69,7.69,0.00,7.69,7.69,7.69,7.69,0.00,0.00,0.00,0.00,15.38,7.69
